0.061889522,309.6530965
0.073051891,304.2622571
0.084215029,298.5705207
0.095375729,293.8316246
0.106535018,289.644373
0.117691483,286.5604102
0.128848077,283.426298
0.140003388,280.7936806
0.151159725,277.7598673
0.162316319,274.625755
0.173473811,271.1405963
0.184631431,267.6052881
0.19578764,264.6216243
0.206941282,262.6409503
0.218093257,261.3122198
0.229244461,260.2843861
0.240395793,259.2064031
0.251548537,257.5767755
0.26270141,255.8969985
0.273855822,253.6154276
0.285009464,251.6347537
0.29616439,249.1525848
0.307317005,247.5731068
0.318470006,245.8431803
0.329621724,244.6147487
0.340774853,242.8346727
0.351926442,241.6563906
0.363077261,240.7790055
0.374227438,240.1523678
0.385378643,239.1245342
0.396529718,238.1468501
0.407681051,237.068867
0.418833153,235.6899869
0.429985127,234.3612564
0.441136973,233.0826753
0.452289717,231.4530478
0.463440793,230.4753637
0.474591612,229.5979786
0.48574179,228.9713409
0.496386032,228.0248757
0.003264517,324.2267086
0.00940295,325.3272358
0.015545659,324.7564442
0.022714767,323.0691593
0.028860327,321.3841553
0.035005888,319.6991512
0.043199968,317.4524792
0.052420447,314.0893138
