T,volfracbeta
949.9875,73.792
940.1141,69.3691
930.2457,63.4696
915.1027,57.8422
899.9611,51.8121
884.815,47.1243
869.6712,41.7652
855.1839,37.2113
840.0294,35.0738
824.8776,32.131
809.7227,30.1277
794.5655,28.7955
780.073,25.8523
764.911,25.9967
749.7551,24.2619
735.2551,23.6005
714.8271,21.4666
704.9457,19.4598
690.4416,20.0064
675.2841,18.8085
660.1217,19.0872
644.9641,17.8893
635.0739,18.5671
549.3836,17.0138
499.9491,15.4363
