T,volfracbeta
600.367,12.3691
641.2652,12.7951
675.1975,13.6665
719.5497,17.1884
762.1423,22.9235
801.2711,26.6688
837.7487,35.0612
871.5981,45.4459
907.1709,57.8209
931.436,69.5368
951.3479,81.4757
984.2598,99.604
